Team,League,Division,Ranking,Year,SB,CS,SO,SH,SF,IBB,BatAge,R,H,HR,RBI,RPG,AvgHomeAtt,Playoff
OAK,AL,West,10,2014,83,20,1104,19,43,34,29.6,729,1354,146,686,4.5,"24,736",0
PHI,NL,East,23,2014,109,26,1306,59,37,42,30.7,619,1356,125,584,3.82,"29,924",0
PIT,NL,Central,8,2014,104,47,1244,54,35,46,27.3,682,1436,156,659,4.21,"30,155",0
SDP,NL,West,18,2014,91,34,1294,56,45,27,27.9,535,1199,109,500,3.3,"27,103",0
SEA,AL,West,11,2014,96,42,1232,35,34,33,27.5,634,1328,136,600,3.91,"25,486",0
SFG,NL,West,9,2014,56,27,1245,45,49,37,28.6,665,1407,132,636,4.1,"41,589",1
STL,NL,Central,6,2014,57,32,1133,64,39,28,28.5,619,1371,105,585,3.82,"43,712",1
TBR,AL,East,20,2014,63,27,1124,43,53,31,29.3,612,1361,117,586,3.78,"17,858",0
TEX,AL,West,28,2014,105,59,1162,41,45,37,28.4,637,1400,111,597,3.93,"33,565",0
TOR,AL,East,14,2014,78,21,1151,35,40,27,29.2,723,1435,177,690,4.46,"29,327",0
WSN,NL,East,2,2014,101,23,1304,60,41,29,28.7,686,1403,152,635,4.23,"31,844",1
ARI,NL,West,18,2015,132,44,1312,46,57,40,26.5,720,1494,154,680,4.44,"25,681",0
ATL,NL,East,28,2015,69,33,1107,67,31,39,28.8,573,1361,100,548,3.54,"24,709",0
BAL,AL,East,16,2015,44,25,1331,20,32,23,27.9,713,1370,217,686,4.4,"29,246",0
BOS,AL,East,19,2015,71,27,1148,30,42,28,28.2,748,1495,161,706,4.62,"35,564",0
CHC,NL,Central,3,2015,95,37,1518,32,35,47,26.9,689,1341,171,657,4.25,"36,039",1
CHW,AL,Central,20,2015,68,42,1231,30,37,22,28.2,622,1381,136,595,3.84,"21,677",0
CIN,NL,Central,29,2015,134,38,1255,47,40,38,29.5,640,1382,167,613,3.95,"29,870",0
CLE,AL,Central,15,2015,86,28,1157,47,50,34,28,669,1395,141,640,4.16,"17,361",0
COL,NL,West,25,2015,97,43,1283,44,34,47,28,737,1479,186,702,4.55,"30,948",0
DET,AL,Central,22,2015,83,51,1259,23,35,36,28.3,689,1515,151,660,4.28,"33,655",0
FLA,NL,East,10,2015,121,48,1392,28,43,22,26.3,729,1363,230,691,4.5,"26,587",0
HOU,AL,West,4,2015,104,34,973,34,47,28,29.1,724,1497,139,689,4.47,"33,439",1
KCR,AL,Central,11,2015,52,34,1150,37,40,34,28.7,661,1331,176,621,4.08,"37,195",1
LAA,AL,West,6,2015,59,34,1258,49,30,31,29.6,667,1346,187,638,4.12,"46,479",0
LAD,NL,West,24,2015,112,45,1150,71,40,30,27.9,613,1420,120,575,3.78,"21,633",1
MIL,NL,Central,26,2015,84,29,1299,55,34,35,28.1,655,1378,145,624,4.04,"31,390",0
MIN,AL,Central,14,2015,70,38,1264,30,41,31,28.2,696,1349,156,661,4.3,"27,408",0
NYM,NL,East,7,2015,51,25,1290,29,32,42,28.6,683,1351,177,654,4.22,"31,725",1
NYY,AL,East,9,2015,63,25,1227,24,54,23,31.4,764,1397,212,737,4.72,"39,430",0
OAK,AL,West,27,2015,78,29,1119,14,38,21,27.9,694,1405,146,661,4.28,"21,829",0
PHI,NL,East,30,2015,88,32,1274,53,29,20,28,626,1374,130,586,3.86,"22,606",0
PIT,NL,Central,2,2015,98,45,1322,63,41,46,28.2,697,1462,140,661,4.3,"30,847",0
SDP,NL,West,23,2015,82,29,1327,52,42,22,27.7,650,1324,148,623,4.01,"30,367",0
SEA,AL,West,21,2015,69,45,1336,38,35,31,28.6,656,1379,198,624,4.05,"27,081",0
SFG,NL,West,12,2015,93,36,1159,45,37,30,28.9,696,1486,136,663,4.3,"41,678",0
STL,NL,Central,1,2015,69,38,1267,39,42,47,28.4,647,1386,137,619,3.99,"43,468",1
TBR,AL,East,17,2015,87,45,1310,19,47,22,28.5,644,1383,167,612,3.98,"15,322",0
TEX,AL,West,8,2015,101,39,1233,43,54,32,28.7,751,1419,172,707,4.64,"30,764",1
TOR,AL,East,5,2015,88,23,1151,36,62,12,29.5,891,1480,232,852,5.5,"34,505",1
WSN,NL,East,13,2015,57,23,1344,55,51,38,28.4,703,1363,177,665,4.34,"32,344",0
ARI,NL,West,24,2016,137,31,1427,43,38,43,26.7,752,1479,190,709,4.64,"25,138",0
ATL,NL,East,26,2016,75,34,1240,64,52,60,28.9,649,1404,122,615,4.03,"24,950",0
BAL,AL,East,7,2016,19,13,1324,17,36,19,28.5,744,1413,253,710,4.59,"26,819",0
BOS,AL,East,5,2016,83,24,1160,8,40,34,28.5,878,1598,208,836,5.42,"36,487",1
CHC,NL,Central,1,2016,66,34,1339,42,37,45,27.4,808,1409,199,767,4.99,"39,906",1
CHW,AL,Central,19,2016,77,36,1285,29,44,16,28.3,686,1428,168,656,4.23,"21,559",0
CIN,NL,Central,29,2016,139,51,1284,58,44,37,27.8,716,1403,164,678,4.42,"23,384",0
CLE,AL,Central,4,2016,134,31,1246,31,60,16,29,777,1435,185,733,4.83,"19,650",1
COL,NL,West,20,2016,66,39,1330,54,34,35,27.8,845,1544,204,805,5.22,"32,130",0
DET,AL,Central,11,2016,58,29,1303,17,38,32,29.9,750,1476,211,719,4.66,"31,173",0
FLA,NL,East,15,2016,102,44,1452,27,31,31,26.4,724,1367,198,689,4.47,"28,477",0
HOU,AL,West,16,2016,121,35,1224,38,34,23,28.5,675,1450,147,640,4.17,"31,577",0
KCR,AL,Central,21,2016,73,34,991,36,49,21,28.5,717,1410,156,686,4.43,"37,236",0
LAA,AL,West,6,2016,45,26,1321,30,32,31,28.9,725,1376,189,680,4.48,"45,720",0
LAD,NL,West,17,2016,71,28,1213,46,38,40,28.3,655,1460,128,626,4.07,"21,405",1
MIL,NL,Central,22,2016,181,56,1543,53,39,34,27.5,671,1299,194,641,4.14,"28,575",0
