Team,League,Division,Ranking,Year,SB,CS,SO,SH,SF,IBB,BatAge
CIN,NL,Central,11,,67,35,1245,85,46,65,28.5
CLE,AL,Central,8,,117,36,1283,31,56,19,28.6
COL,NL,West,20,,112,32,1204,65,35,26,27.7
DET,AL,Central,6,,35,20,1073,32,47,40,30
FLA,NL,East,30,,110,61,1535,46,38,17,25.8
HOU,AL,West,13,,153,32,1048,37,42,38,26.9
KCR,AL,Central,17,,82,34,1221,37,64,40,27.8
LAA,AL,West,7,,78,28,1146,71,48,45,30.6
LAD,NL,West,29,,78,29,1232,57,26,31,27.7
MIL,NL,Central,21,,142,50,1183,77,35,22,27.9
MIN,AL,Central,26,,52,33,1430,29,32,20,28.2
NYM,NL,East,23,,114,35,1384,53,32,40,28.3
NYY,AL,East,14,,115,31,1214,36,36,33,31.9
OAK,AL,West,4,,74,28,1178,21,49,29,28.3
PHI,NL,East,24,,73,29,1205,57,31,41,30
PIT,NL,Central,5,,94,42,1330,62,29,41,27.9
SDP,NL,West,19,,118,34,1309,52,34,36,28.1
SEA,AL,West,25,,49,23,1353,26,28,21,28.7
SFG,NL,West,18,,67,26,1078,66,42,40,28.7
STL,NL,Central,1,,45,22,1110,56,44,38,28.7
TBR,AL,East,9,,73,38,1171,24,55,31,29.5
TEX,AL,West,10,,149,46,1067,45,42,26,29.6
TOR,AL,East,22,,112,41,1123,29,38,19,28.9
WSN,NL,East,12,,88,28,1192,68,39,35,27.7
